species,sp_code,ssp,period,suitability,SRSin,GRSin,ERSin,FCSin
Malus coronaria,cor,historical,2000,low,7.142857142857142,3.0304519107100227,100,36.724436351189055
Malus coronaria,cor,historical,2000,mod,6.042296072507553,3.0304519107100227,100,36.35758266107253
Malus coronaria,cor,historical,2000,high,4.891304347826087,3.0304519107100227,100,35.97391875284537
Malus coronaria,cor,245,2030,low,7.252440725244072,3.0304519107100227,100,36.7609642119847
Malus coronaria,cor,245,2030,mod,6.329113924050633,2.956188738865246,100,36.42843422097196
Malus coronaria,cor,245,2030,high,4.098360655737705,1.3215912331948636,100,35.139983962977524
Malus coronaria,cor,245,2050,low,6.31424375917768,3.0304519107100227,100,36.44823188996257
Malus coronaria,cor,245,2050,mod,7.017543859649122,3.025606552552801,100,36.68105013740064
Malus coronaria,cor,245,2050,high,10,1.7095840920234104,100,37.23652803067447
Malus coronaria,cor,245,2070,low,6.29800307219662,3.0304519107100227,100,36.44281832763555
Malus coronaria,cor,245,2070,mod,6.511627906976744,2.685706704371064,100,36.399111537115935
Malus coronaria,cor,245,2070,high,0,0,100,33.333333333333336
Malus coronaria,cor,585,2030,low,7.282913165266107,3.0304519107100227,100,36.77112169199204
Malus coronaria,cor,585,2030,mod,6.0344827586206895,2.94407702480084,100,36.326186594473846
Malus coronaria,cor,585,2030,high,5.05050505050505,1.3307464292933784,100,35.46041715993281
Malus coronaria,cor,585,2050,low,6.29800307219662,3.0304519107100227,100,36.44281832763555
Malus coronaria,cor,585,2050,mod,6.572769953051644,2.599318698504132,100,36.39069621718526
Malus coronaria,cor,585,2050,high,0,0,100,33.333333333333336
Malus coronaria,cor,585,2070,low,6.557377049180328,3.072461993481589,100,36.54327968088731
Malus coronaria,cor,585,2070,mod,10,10.012302899297408,100,40.00410096643247
Malus coronaria,cor,585,2070,high,0,0,100,33.333333333333336
Malus fusca,fus,historical,2000,low,18.78238341968912,9.676799048038777,100,42.81972748924263
Malus fusca,fus,historical,2000,mod,17.94871794871795,9.676799048038777,100,42.541838998918905
Malus fusca,fus,historical,2000,high,14.84375,9.676799048038777,100,41.506849682679594
Malus fusca,fus,245,2030,low,18.65284974093264,9.676799048038777,100,42.776549596323804
Malus fusca,fus,245,2030,mod,18.61413043478261,9.676799048038777,100,42.76364316094046
Malus fusca,fus,245,2030,high,20.607375271149674,10.718176177545118,100,43.775183816231596
Malus fusca,fus,245,2050,low,18.65284974093264,9.676799048038777,100,42.776549596323804
Malus fusca,fus,245,2050,mod,18.67388362652233,9.676799048038777,100,42.78356089152037
Malus fusca,fus,245,2050,high,20.366598778004075,10.875334075500211,100,43.747310951168096
Malus fusca,fus,245,2070,low,18.733850129198967,9.676799048038777,100,42.80354972574592
Malus fusca,fus,245,2070,mod,18.867924528301888,9.676799048038777,100,42.848241192113555
Malus fusca,fus,245,2070,high,20.66276803118908,10.48142962350161,100,43.714732551563564
Malus fusca,fus,585,2030,low,18.65284974093264,9.676799048038777,100,42.776549596323804
Malus fusca,fus,585,2030,mod,18.61413043478261,9.676799048038777,100,42.76364316094046
Malus fusca,fus,585,2030,high,20.382165605095544,10.858715818757391,100,43.746960474617644
Malus fusca,fus,585,2050,low,18.65284974093264,9.676799048038777,100,42.776549596323804
Malus fusca,fus,585,2050,mod,18.67388362652233,9.676799048038777,100,42.78356089152037
Malus fusca,fus,585,2050,high,20.858895705521473,11.074605073246719,100,43.97783359292273
Malus fusca,fus,585,2070,low,18.547341115434502,9.676799048038777,100,42.741380054491096
Malus fusca,fus,585,2070,mod,18.783783783783782,9.676799048038777,100,42.82019427727418
Malus fusca,fus,585,2070,high,20.545073375262053,11.307892883580493,100,43.95098875294752
Malus ioensis,ion,historical,2000,low,5.612244897959184,2.358327896452519,100,35.990190931470565
Malus ioensis,ion,historical,2000,mod,5.8988764044943816,2.358327896452519,100,36.0857347669823
Malus ioensis,ion,historical,2000,high,5.555555555555555,2.358327896452519,100,35.97129448400269
Malus ioensis,ion,245,2030,low,5.82010582010582,2.358327896452519,100,36.059477905519444
Malus ioensis,ion,245,2030,mod,5.818181818181818,2.3681193895819503,100,36.06210040258792
Malus ioensis,ion,245,2030,high,6.521739130434782,2.584596954768687,100,36.368778695067824
Malus ioensis,ion,245,2050,low,5.828220858895705,2.3830955259011635,100,36.070438794932286
Malus ioensis,ion,245,2050,mod,5.714285714285714,2.3112536196766187,100,36.00851311132078
Malus ioensis,ion,245,2050,high,7.894736842105263,3.2179753006392087,100,37.037570714248155
Malus ioensis,ion,245,2070,low,5.415162454873646,2.335119700512054,100,35.9167607184619
Malus ioensis,ion,245,2070,mod,6.470588235294119,2.7018882139594957,100,36.39082548308454
Malus ioensis,ion,245,2070,high,6.8493150684931505,3.20230884824056,100,36.683874638911234
Malus ioensis,ion,585,2030,low,5.9459459459459465,2.3585853757028077,100,36.10151044054958
Malus ioensis,ion,585,2030,mod,6.153846153846154,2.317663461561826,100,36.15716987180266
Malus ioensis,ion,585,2030,high,7.100591715976331,2.6642868294319757,100,36.588292848469436
Malus ioensis,ion,585,2050,low,5.923344947735192,2.437268760674682,100,36.120204569469955
Malus ioensis,ion,585,2050,mod,6.832298136645963,2.75601596548754,100,36.5294380340445
Malus ioensis,ion,585,2050,high,7.246376811594203,2.614967254590351,100,36.62044802206152
Malus ioensis,ion,585,2070,low,5.47112462006079,2.2152268316682338,100,35.89545048390968
Malus ioensis,ion,585,2070,mod,0,4.1354291469316244,100,34.711809715643874
Malus ioensis,ion,585,2070,high,0,0,100,33.333333333333336
Malus angustifolia,ang,historical,2000,low,11.805555555555555,5.794679629145714,100,39.20007839490042
Malus angustifolia,ang,historical,2000,mod,11.450381679389313,5.794679629145714,100,39.08168710284501
Malus angustifolia,ang,historical,2000,high,12.385321100917432,5.794679629145714,100,39.393333576687716
Malus angustifolia,ang,245,2030,low,14.207650273224044,9.414323453347546,100,41.20732457552386
Malus angustifolia,ang,245,2030,mod,17.431192660550458,14.219591519741295,100,43.88359472676392
Malus angustifolia,ang,245,2030,high,13.157894736842104,16.064618540715664,100,43.07417109251926
Malus angustifolia,ang,245,2050,low,17.24137931034483,14.714869962279339,100,43.985416424208054
Malus angustifolia,ang,245,2050,mod,18.75,17.688092017608827,100,45.47936400586961
Malus angustifolia,ang,245,2050,high,15.625,19.87813893394626,100,45.167712977982085
Malus angustifolia,ang,245,2070,low,19.565217391304348,17.235351933293966,100,45.6001897748661
Malus angustifolia,ang,245,2070,mod,20,20.384934800273175,100,46.794978266757724
Malus angustifolia,ang,245,2070,high,16,21.01964318226452,100,45.67321439408818
Malus angustifolia,ang,585,2030,low,13.414634146341465,10.310170786104418,100,41.24160164414863
Malus angustifolia,ang,585,2030,mod,18.446601941747574,14.692480926376733,100,44.37969428937477
Malus angustifolia,ang,585,2030,high,14.285714285714285,16.963782781470456,100,43.749832355728245
Malus angustifolia,ang,585,2050,low,18.39080459770115,18.123992634257444,100,45.50493241065286
Malus angustifolia,ang,585,2050,mod,16.666666666666664,20.270127655598266,100,45.64559810742164
Malus angustifolia,ang,585,2050,high,16.666666666666664,21.52446189856572,100,46.06370952174413
Malus angustifolia,ang,585,2070,low,12.82051282051282,22.597555735606363,100,45.13935618537306
Malus angustifolia,ang,585,2070,mod,16.666666666666664,25.96926340815648,100,47.545310024941045
Malus angustifolia,ang,585,2070,high,8.333333333333332,29.374872017980998,100,45.902735117104775
Sect. Chloromeles,chl,historical,2000,low,8.122503328894808,3.623521683755757,100,37.24867500421686
Sect. Chloromeles,chl,historical,2000,mod,8.199121522693996,3.623521683755757,100,37.274214402149916
Sect. Chloromeles,chl,historical,2000,high,6.455862977602108,3.623521683755757,100,36.69312822045262
Sect. Chloromeles,chl,245,2030,low,7.9335793357933575,3.631798557789535,100,37.188459297860966
Sect. Chloromeles,chl,245,2030,mod,7.032967032967033,3.6774134923547903,100,36.90346017510728
Sect. Chloromeles,chl,245,2030,high,6.802721088435375,4.794503297583452,100,37.19907479533961
Sect. Chloromeles,chl,245,2050,low,7.717041800643088,3.799686755585209,100,37.172242852076096
Sect. Chloromeles,chl,245,2050,mod,7.712082262210797,4.164744126069694,100,37.292275462760166
Sect. Chloromeles,chl,245,2050,high,6.115107913669065,5.894602665118227,100,37.336570192929095
Sect. Chloromeles,chl,245,2070,low,7.854630715123095,4.019566332781417,100,37.29139901596817
Sect. Chloromeles,chl,245,2070,mod,7.017543859649122,5.096543336116868,100,37.371362398588666
Sect. Chloromeles,chl,245,2070,high,6.598984771573605,7.423918980914435,100,38.00763458416268
Sect. Chloromeles,chl,585,2030,low,7.559808612440191,3.6487524921926124,100,37.06952036821094
Sect. Chloromeles,chl,585,2030,mod,7.134767836919592,3.7535546804774214,100,36.96277417246567
Sect. Chloromeles,chl,585,2030,high,6.5375302663438255,5.006044282670905,100,37.181191516338245
Sect. Chloromeles,chl,585,2050,low,7.947805456702254,4.075791777035327,100,37.34119907791253
Sect. Chloromeles,chl,585,2050,mod,6.913183279742766,4.884110982273214,100,37.265764754005325
Sect. Chloromeles,chl,585,2050,high,6.372549019607843,6.939754568975329,100,37.77076786286106
Sect. Chloromeles,chl,585,2070,low,7.83289817232376,6.376808172808937,100,38.06990211504423
Sect. Chloromeles,chl,585,2070,mod,7.462686567164178,7.386415776843775,100,38.28303411466932
Sect. Chloromeles,chl,585,2070,high,9.090909090909092,31.81491354745657,100,46.96860754612189
