species,sp_code,ssp,period,suitability,SRSin,GRSin,ERSin,FCSin
Malus coronaria,cor,historical,2000,high,4.891304347826087,3.0304519107100227,100,35.97391875284537
Malus coronaria,cor,245,2030,high,4.098360655737705,1.3215912331948636,66.66666666666666,24.02887285186641
Malus coronaria,cor,245,2050,high,10,1.7095840920234104,16.666666666666664,9.458750252896692
Malus coronaria,cor,245,2070,high,0,0,0,0
Malus coronaria,cor,585,2030,high,5.05050505050505,1.3307464292933784,66.66666666666666,24.349306048821695
Malus coronaria,cor,585,2050,high,0,0,0,0
Malus coronaria,cor,585,2070,high,0,0,0,0
Malus fusca,fus,historical,2000,high,14.84375,9.676799048038777,100,41.506849682679594
Malus fusca,fus,245,2030,high,20.607375271149674,10.718176177545118,100,43.775183816231596
Malus fusca,fus,245,2050,high,20.366598778004075,10.875334075500211,100,43.747310951168096
Malus fusca,fus,245,2070,high,20.66276803118908,10.48142962350161,100,43.714732551563564
Malus fusca,fus,585,2030,high,20.382165605095544,10.858715818757391,100,43.746960474617644
Malus fusca,fus,585,2050,high,20.858895705521473,11.074605073246719,100,43.97783359292273
Malus fusca,fus,585,2070,high,20.545073375262053,11.307892883580493,100,43.95098875294752
Malus ioensis,ion,historical,2000,high,5.555555555555555,2.358327896452519,100,35.97129448400269
Malus ioensis,ion,245,2030,high,6.521739130434782,2.584596954768687,80,29.702112028401157
Malus ioensis,ion,245,2050,high,7.894736842105263,3.2179753006392087,80,30.37090404758149
Malus ioensis,ion,245,2070,high,6.8493150684931505,3.20230884824056,60,23.350541305577902
Malus ioensis,ion,585,2030,high,7.100591715976331,2.6642868294319757,80,29.92162618180277
Malus ioensis,ion,585,2050,high,7.246376811594203,2.614967254590351,60,23.287114688728185
Malus ioensis,ion,585,2070,high,0,0,0,0
Malus angustifolia,ang,historical,2000,high,12.385321100917432,5.794679629145714,100,39.393333576687716
Malus angustifolia,ang,245,2030,high,13.157894736842104,16.064618540715664,66.66666666666666,31.963059981408144
Malus angustifolia,ang,245,2050,high,15.625,19.87813893394626,66.66666666666666,34.05660186687097
Malus angustifolia,ang,245,2070,high,16,21.01964318226452,66.66666666666666,34.56210328297706
Malus angustifolia,ang,585,2030,high,14.285714285714285,16.963782781470456,66.66666666666666,32.63872124461713
Malus angustifolia,ang,585,2050,high,16.666666666666664,21.52446189856572,66.66666666666666,34.952598410633016
Malus angustifolia,ang,585,2070,high,8.333333333333332,29.374872017980998,33.33333333333333,23.680512894882554
Sect. Chloromeles,chl,historical,2000,high,6.455862977602108,3.623521683755757,100,36.69312822045262
Sect. Chloromeles,chl,245,2030,high,6.802721088435375,4.794503297583452,100,37.19907479533961
Sect. Chloromeles,chl,245,2050,high,6.115107913669065,5.894602665118227,85.71428571428571,32.574665431024336
Sect. Chloromeles,chl,245,2070,high,6.598984771573605,7.423918980914435,85.71428571428571,33.245729822257914
Sect. Chloromeles,chl,585,2030,high,6.5375302663438255,5.006044282670905,100,37.181191516338245
Sect. Chloromeles,chl,585,2050,high,6.372549019607843,6.939754568975329,85.71428571428571,33.00886310095629
Sect. Chloromeles,chl,585,2070,high,9.090909090909092,31.81491354745657,14.285714285714285,18.397178974693315
