gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
788776868	aab0cf80-0c64-11dd-84d1-b8a03c50a862	LD:General:1542929	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus angustifolia		SPECIES	Malus angustifolia (Aiton) Michx.	Malus angustifolia		US	No locality information available	Louisiana	PRESENT	1	c0758a16-296b-4ec3-97fd-8a057d9060f3	30.4677	-90.2096							2007-03-18	18	3	2007	3001548	3001548	PRESERVED_SPECIMEN	LD	General	1542929				CC_BY_NC_4_0		Rachel Guillory, Lowell Urbatsch			2025-02-23T03:07:54.654Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
5070632348	39c43f87-ad33-48f6-867c-29768e1f06d1	ba455404-c817-4599-861a-c358a1f734a0	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus angustifolia		SPECIES	Malus angustifolia (Aiton) Michx.	Malus angustifolia	(Aiton) Michx.	US	about 1 1/2 miles north of Bloomfield or about 4 miles northwest of Chrisney	Indiana	PRESENT		26a503f6-b337-424b-8d7a-b3ab11d2597f	38.046242	-87.096388	650.0						1939-09-04	4	9	1939	3001548	3001548	PRESERVED_SPECIMEN	IND		IND-0056934	59467			CC_BY_NC_4_0	The Trustees of Indiana University	Charles C. Deam			2025-02-26T14:41:46.471Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
5070631475	39c43f87-ad33-48f6-867c-29768e1f06d1	b76ba27b-e586-458c-bad3-87d123967dbe	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus angustifolia		SPECIES	Malus angustifolia (Aiton) Michx.	Malus angustifolia	(Aiton) Michx.	US	Monticello	Arkansas	PRESENT		26a503f6-b337-424b-8d7a-b3ab11d2597f	33.628997	-91.790964	1750.0		82.0				1942-04-16	16	4	1942	3001548	3001548	PRESERVED_SPECIMEN	IND		IND-0056935	22754			CC_BY_NC_4_0	The Trustees of Indiana University	Delzie Demaree			2025-02-26T14:41:46.078Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
5070631474	39c43f87-ad33-48f6-867c-29768e1f06d1	0cb2b819-1c8c-41ee-a44c-86e3ce42c0e6	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus angustifolia		SPECIES	Malus angustifolia (Aiton) Michx.	Malus angustifolia	(Aiton) Michx.	US	Chestnut Ridge at Hillside	Pennsylvania	PRESENT		26a503f6-b337-424b-8d7a-b3ab11d2597f	40.368125	-79.26059	3000.0						1928-06-02	2	6	1928	3001548	3001548	PRESERVED_SPECIMEN	IND		IND-0056937	143			CC_BY_NC_4_0	The Trustees of Indiana University	John Bright			2025-02-26T14:41:46.078Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
5070630600	39c43f87-ad33-48f6-867c-29768e1f06d1	448d2a49-f33e-4203-855e-8fc66d894f3c	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus angustifolia		SPECIES	Malus angustifolia (Aiton) Michx.	Malus angustifolia	(Aiton) Michx.	US	Right Prong Little Pigeon River, one mile below Gatlinburg	Tennessee	PRESENT		26a503f6-b337-424b-8d7a-b3ab11d2597f	35.700702	-83.526862	210.0						1934-04-20	20	4	1934	3001548	3001548	PRESERVED_SPECIMEN	IND		IND-0056938	134			CC_BY_NC_4_0	The Trustees of Indiana University	Stanley A. Cain; Wilbur H. Duncan			2025-02-26T14:41:46.512Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
5070629469	39c43f87-ad33-48f6-867c-29768e1f06d1	11bcdec5-3ac5-4961-95a8-063a8c79e61f	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus angustifolia		SPECIES	Malus angustifolia (Aiton) Michx.	Malus angustifolia	(Aiton) Michx.	US	on the Loop road, 2 miles southeast of New Hope, 1.0 mile from jct. rd.	North Carolina	PRESENT		26a503f6-b337-424b-8d7a-b3ab11d2597f	36.131736	-76.292171	700.0						1967-09-27	27	9	1967	3001548	3001548	PRESERVED_SPECIMEN	IND		IND-0056936	11539			CC_BY_NC_4_0	The Trustees of Indiana University	John R. Bozeman; Albert E. Radford			2025-02-26T14:41:46.551Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
5062712775	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/207068805	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus angustifolia		SPECIES	Malus angustifolia (Aiton) Michx.	Malus angustifolia		US		Georgia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	34.802138	-83.30593	5.0						2024-04-13T17:01:19	13	4	2024	3001548	3001548	HUMAN_OBSERVATION	iNaturalist	Observations	207068805		Molly H	2024-04-13T23:52:40	CC_BY_NC_4_0	Molly H	Molly H			2025-02-16T15:12:50.201Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5028870559	9ed207ca-4994-4a15-9994-66b19bffb3ee	41de2498-d5fe-47cc-856e-e44acf67ac61	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus angustifolia		SPECIES	Malus angustifolia (Aiton) Michx.	Malus angustifolia	(Aiton) Michx.	US	North Chickamauga Creek Gorge State Natural Area. Northeastern clear-cut between Poe Rd and Chickamauga Gulch 35.257530 -85.23961	Tennessee	PRESENT		efcf5460-a06a-11d9-8ec2-b8a03c50a862	35.25753	-85.23961							2008-05-21	21	5	2008	3001548	3001548	PRESERVED_SPECIMEN	UTC	UCHT	UCHT014909	1416			CC0_1_0		S. Huskins			2025-02-14T21:59:04.109Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;AMBIGUOUS_INSTITUTION
5028870543	9ed207ca-4994-4a15-9994-66b19bffb3ee	514ca601-0dd4-4a8c-8dcf-245add76a959	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus angustifolia		SPECIES	Malus angustifolia (Aiton) Michx.	Malus angustifolia	(Aiton) Michx.	US		Georgia	PRESENT		efcf5460-a06a-11d9-8ec2-b8a03c50a862	34.926332	-85.378476											3001548	3001548	PRESERVED_SPECIMEN	UTC	UCHT	UCHT014902				CC0_1_0					2025-02-14T21:59:04.106Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;AMBIGUOUS_INSTITUTION
4994199150	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/253533813	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus angustifolia		SPECIES	Malus angustifolia (Aiton) Michx.	Malus angustifolia		US		Alabama	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	34.401247	-85.633116	4.0						2024-09-06T08:20:56	6	9	2024	3001548	3001548	HUMAN_OBSERVATION	iNaturalist	Observations	253533813		RM Taylor	2024-11-29T18:37:14	CC_BY_NC_4_0	RM Taylor	RM Taylor			2025-02-16T15:52:00.827Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
