accID,Latitude,Longitude,VERBATIM_DATE,Terrell_Notes
CA17-36,54.55992317,-128.4721529,2017-07-13,Recalculated coords from UTM
CA17-38,55.1878331,-129.2358437,2017-07-14,Recalculated coords from UTM
CA17-35,54.56023986,-128.4726437,2017-07-13,Recalculated coords from UTM
CA17-81,55.02225131,-128.3134645,2007-05-26,Recalculated coords from UTM
CA17-42,55.19481087,-129.2239147,2017-07-14,Recalculated coords from UTM
CA17-86,54.03432667,-128.6611217,2007-06-04,Recalculated coords from UTM
CA17-18,54.43983844,-128.7721587,2017-07-12,Recalculated coords from UTM
CA17-43,55.19493662,-129.2239468,2017-07-14,Recalculated coords from UTM
CA17-39,55.1880842,-129.2361122,2017-07-14,Recalculated coords from UTM
CA17-32,54.56103567,-128.4737778,2017-07-13,Recalculated coords from UTM
UBC05,54.058555,-131.850066,1974-08-14,
ALA08,55.4,-130.5,1980-07-17,
Mfusca031,47.48185657,-124.0725919,,
Mfusca050,44.61419458,-123.6303436,,
UBC10,53.635578,-129.3005,1970-07-24,
BCVE38,53.420036,-129.260144,,
Mfusca033,47.48166579,-124.0727872,,
ALA28,55.931394,-130.02472,1972-07-22,
UBC06,50.2,-127.5,1979-06-25,
ALA14,60.710134,-147.913924,1965-08-06,
CA17-85,54.03432667,-128.6611217,2007-06-04,Recalculated coords from UTM
Mfusca015,47.04316272,-123.922936,,
UBC08,49.144161,-123.966792,1975-05-28,
UBC13,49.116667,-125.45,1981-08-20,
BCVE39,53.635578,-129.3005,,
Mfusca026,47.48226723,-124.0739011,,
ALA05,60.210813,-144.649556,1977-07-23,
Mfusca057,44.61511963,-123.6307443,,
Mfusca014,47.04299453,-123.9225908,,
ALA32,59.978517,-144.254862,1978-06-30,
Mfusca022,47.04375146,-123.923578,,
CA17-37,55.18793143,-129.2361113,2017-07-14,Recalculated coords from UTM
UBC18,51.974971,-131.045224,1978 late May,
ALA43,58.38,-134.65,1962-07-11,
Mfusca025,47.48229388,-124.0748972,,
ALA18,57,-133.33,1961-05-09,
ALA04,60.708833,-147.952634,1993-08-20,
ALA29,55.53,-132.51,1961-05-04,
Mfusca035,47.94666864,-124.5407632,,
ALA23,60.01248333,-143.90345,2008-08-08,
UBC17,50.566667,-127,1978-05-24,
UBC02,50.783333,-128.35,1972-06-28,Recalculated coords from UTM
CA17-14,54.46537131,-128.7130963,2017-07-12,
Mfusca060,44.60019006,-124.0602993,,
UBC09,50.183333,-127.766667,1975-08-16,
Mfusca041,47.94617217,-124.5408824,,
Mfusca042,47.94543304,-124.540981,,
UBC11,49.666667,-124.416667,1974-06-08,
ALA07,57.91,-135.41,1994-07-15,
Mfusca017,47.04336152,-123.9228341,,
ALA12,55.226808,-131.15617,1993-07-02,
Mfusca090,41.73488214,-124.1533271,,
Mfusca019,47.04354781,-123.9231664,,
CA17-84,54.0343,-128.6611,2007-06-04,
ALA34,57.28,-133.25,1980-07-31,
ALA22,55.4,-131.75,1951/09/00,
Mfusca068,44.52149494,-124.0693529,,
