site,uniqueID,species,source,easting,northing,utm_zone,longitude,latitude
PR06,MF1,Malus fusca,Obrist,585465,5703839,9U,-127.7692797,51.47924378
PR07,MF2,Malus fusca,Obrist,585575,5703957,9U,-127.7676675,51.48028793
PR09,MF3,Malus fusca,Obrist,585779,5704654,9U,-127.7645612,51.48652282
CV17,MF4,Malus fusca,Obrist,568848,5731163,9U,-128.0031609,51.72715921
ST05,MF5,Malus fusca,Obrist,560249,5732072,9U,-128.1274904,51.73632149
ST08,MF6,Malus fusca,Obrist,563692,5734065,9U,-128.0772716,51.75385822
TQ13,MF7,Malus fusca,Obrist,552794,5740019,9U,-128.2342323,51.80852089
TQ01,MF8,Malus fusca,Obrist,553253,5740117,9U,-128.2275602,51.80935842
TQ04,MF9,Malus fusca,Obrist,552546,5740203,9U,-128.2378013,51.8101985
TQ09,MF10,Malus fusca,Obrist,553631,5740425,9U,-128.2220301,51.81209133
TQ10,MF11,Malus fusca,Obrist,552322,5740496,9U,-128.2410059,51.81285372
TQ07,MF12,Malus fusca,Obrist,554324,5741094,9U,-128.2118736,51.81803897
TQ11,MF13,Malus fusca,Obrist,552239,5741352,9U,-128.2420807,51.82055731
TQ12,MF14,Malus fusca,Obrist,552276,5741610,9U,-128.241505,51.82287339
TQ20,MF15,Malus fusca,Obrist,553475,5743909,9U,-128.2237546,51.84342882
GS06,MF16,Malus fusca,Obrist,538877,5750556,9U,-128.434898,51.9043975
GS05,MF17,Malus fusca,Obrist,536554,5753071,9U,-128.4683957,51.92716639
GS09,MF18,Malus fusca,Obrist,539073,5753279,9U,-128.4317401,51.92886532
MM04,MF19,Malus fusca,Obrist,540797,5767056,9U,-128.4050292,52.05260359
MM02,MF20,Malus fusca,Obrist,541001,5767114,9U,-128.4020473,52.05310997
MM03,MF21,Malus fusca,Obrist,541001,5767114,9U,-128.4020473,52.05310997
MM11,MF22,Malus fusca,Obrist,540685,5767550,9U,-128.4066036,52.05705308
MM05,MF23,Malus fusca,Obrist,539590,5767849,9U,-128.4225388,52.05982053
MM06,MF24,Malus fusca,Obrist,540104,5768296,9U,-128.4149895,52.06380227
AD02,MF25,Malus fusca,Fitzpatrick,549149.68,5762937.54,9U,-128.2838176,52.01489991
CV04,MF26,Malus fusca,Fitzpatrick,560697.2964,5725393.829,9U,-128.122162,51.676234
CV06,MF27,Malus fusca,Fitzpatrick,560296.1675,5725718.873,9U,-128.1279065,51.67919949
CV07,MF28,Malus fusca,Fitzpatrick,561506.06,5727057.608,9U,-128.1101735,51.69110399
CV13,MF29,Malus fusca,Fitzpatrick,560145.84,5726383.29,9U,-128.129966,51.68518899
MM01,MF30,Malus fusca,Fitzpatrick,540836.8845,5766901.652,9U,-128.404466,52.051213
PR02,MF31,Malus fusca,Fitzpatrick,590305.4642,5701680.507,9U,-127.700146,51.459088
ST02,MF32,Malus fusca,Fitzpatrick,562924.9476,5731788.534,9U,-128.0887945,51.733479
ST07,MF33,Malus fusca,Fitzpatrick,563380.2354,5733991.744,9U,-128.081801,51.753235
ST12,MF34,Malus fusca,Fitzpatrick,559737.0809,5734043.96,9U,-128.1345643,51.75410484
ST14,MF35,Malus fusca,Fitzpatrick,564426.9261,5737367.052,9U,-128.0660135,51.78346
TB02,MF36,Malus fusca,Fitzpatrick,545855.53,5764767.865,9U,-128.3315692,52.0316371
TB08,MF37,Malus fusca,Fitzpatrick,544825.4001,5765280.825,9U,-128.346517,52.036333
TQ02,MF38,Malus fusca,Fitzpatrick,551534.0149,5740113.002,9U,-128.2524925,51.8094836
