gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
891734527	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/383258	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus coronaria		SPECIES	Malus coronaria (L.) Mill.	Malus coronaria		US		Michigan	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.088333	-84.726167							2013-08-30T14:54:11	30	8	2013	3001166	3001166	HUMAN_OBSERVATION	iNaturalist	Observations	383258		Jesse Lincoln	2013-08-31T01:15:30	CC_BY_NC_4_0	Jesse Lincoln	Jesse Lincoln			2024-09-21T09:11:24.186Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
768788963	5288946d-5fcf-4b53-8fd3-74f4cc6b53fc		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus coronaria		SPECIES	Malus coronaria (L.) Mill.	Malus coronaria (L.) Mill.		US	Midland	Michigan	PRESENT		1ef55060-54da-11dd-9d47-b8a03c50a862	43.61555	-84.24722	20000.0						1931-05-20	20	5	1931	3001166	3001166	PRESERVED_SPECIMEN	UConn	CONN	CONN00159054	7122			CC_BY_4_0		R.R. Dreisbach			2024-03-08T09:52:38.278Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
768788587	5288946d-5fcf-4b53-8fd3-74f4cc6b53fc		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus coronaria		SPECIES	Malus coronaria (L.) Mill.	Malus coronaria (L.) Mill.		US	Netcong	New Jersey	PRESENT		1ef55060-54da-11dd-9d47-b8a03c50a862	40.89888	-74.70638	3.0						1945-04-28	28	4	1945	3001166	3001166	PRESERVED_SPECIMEN	UConn	CONN	CONN00158297				CC_BY_4_0		Chrysler, M. A.; Edwards, J. L.			2024-03-08T09:52:38.313Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
768788528	5288946d-5fcf-4b53-8fd3-74f4cc6b53fc		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus coronaria		SPECIES	Malus coronaria (L.) Mill.	Malus coronaria (L.) Mill.		US	DuPage County	Illinois	PRESENT		1ef55060-54da-11dd-9d47-b8a03c50a862	41.83333	-88.08333							1894-05-12	12	5	1894	3001166	3001166	PRESERVED_SPECIMEN	UConn	CONN	CONN00158238				CC_BY_4_0		W.S. Moffatt			2024-03-08T09:52:38.233Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
768788527	5288946d-5fcf-4b53-8fd3-74f4cc6b53fc		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus coronaria		SPECIES	Malus coronaria (L.) Mill.	Malus coronaria (L.) Mill.		US	Port Huron	Michigan	PRESENT		1ef55060-54da-11dd-9d47-b8a03c50a862	42.97083	-82.425	5000.0		184.0	0.0			1892-06-07	7	6	1892	3001166	3001166	PRESERVED_SPECIMEN	UConn	CONN	CONN00158237				CC_BY_4_0		Charles K. Dodge			2024-03-08T09:52:38.330Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
768788526	5288946d-5fcf-4b53-8fd3-74f4cc6b53fc		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus coronaria		SPECIES	Malus coronaria (L.) Mill.	Malus coronaria (L.) Mill.		US	Asheville	North Carolina	PRESENT		1ef55060-54da-11dd-9d47-b8a03c50a862	35.58	-82.55583	20000.0										3001166	3001166	PRESERVED_SPECIMEN	UConn	CONN	CONN00158236				CC_BY_4_0		W.W. Ashe			2024-03-08T09:52:38.259Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;INSTITUTION_MATCH_NONE
768788521	5288946d-5fcf-4b53-8fd3-74f4cc6b53fc		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus coronaria		SPECIES	Malus coronaria (L.) Mill.	Malus coronaria (L.) Mill.		US	Platt Park	Connecticut	PRESENT		1ef55060-54da-11dd-9d47-b8a03c50a862	41.47611	-73.23694	3.0						1995-06-15	15	6	1995	3001166	3001166	PRESERVED_SPECIMEN	UConn	CONN	CONN00158231	298			CC_BY_4_0		McCauley, Kathleen M.			2024-03-08T09:52:38.295Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
574773661	7adf20e0-c955-11de-95c0-b8a03c50a862	http://data.rbge.org.uk/living/19810929	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus coronaria		SPECIES	Malus coronaria (L.) Mill.	Malus coronaria (L.) Mill.		CA	Brantford Tp.	Ontario	PRESENT		98e934b0-5f31-11de-b67e-b8a03c50a862	43.183333	-80.4			229.0	0.0							3001166	3001166	LIVING_SPECIMEN	E	E	19810929				CC_BY_NC_4_0					2024-09-11T10:50:50.114Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY
4946543627	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/214077738	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus coronaria		SPECIES	Malus coronaria (L.) Mill.	Malus coronaria		US		Michigan	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.691113	-83.614231							2024-05-04T16:35:16	4	5	2024	3001166	3001166	HUMAN_OBSERVATION	iNaturalist	Observations	214077738		Dawn Hughes	2024-05-06T22:33:07	CC_BY_4_0	Dawn Hughes	Dawn Hughes			2024-09-21T09:33:52.566Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4946454007	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/240209001	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus coronaria		SPECIES	Malus coronaria (L.) Mill.	Malus coronaria		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.595904	-81.901604	4.0						2024-09-06T17:15:16	6	9	2024	3001166	3001166	HUMAN_OBSERVATION	iNaturalist	Observations	240209001		Lisa Bates	2024-09-06T21:18:04	CC_BY_NC_4_0	Lisa Bates	Lisa Bates			2024-09-21T09:10:08.380Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
