gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
911520390	95c938a8-f762-11e1-a439-00145eb45e9a	d3e2b378-3727-4cb9-bb69-2692c86dd6a4	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus ioensis		SPECIES	Malus ioensis (Alph.Wood) Britton	Malus ioensis		US	Overland Park	Kansas	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	38.92013	-94.70004	10.67						2013-09-05	5	9	2013	3001596	3001596	PRESERVED_SPECIMEN	KU	KANU	392492		Caleb A Morse		CC_BY_4_0		Caleb A Morse; Helen S Morse			2025-02-13T16:11:54.095Z	StillImage	
5070632364	39c43f87-ad33-48f6-867c-29768e1f06d1	809a0e85-df85-45d3-934c-7cc18d0c9732	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus ioensis		SPECIES	Malus ioensis (Alph.Wood) Britton	Malus ioensis	(Alph. Wood) Britton	US	High bluff of Tippecanoe River 1/2 mile south of the Carroll County Line	Indiana	PRESENT		26a503f6-b337-424b-8d7a-b3ab11d2597f	40.554842	-86.765013	425.0						1917-05-16	16	5	1917	3001596	3001596	PRESERVED_SPECIMEN	IND		IND-0057053	23084			CC_BY_NC_4_0	The Trustees of Indiana University	Charles C. Deam			2025-02-26T14:41:46.555Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
5070632363	39c43f87-ad33-48f6-867c-29768e1f06d1	5f948433-a0f1-4822-8b21-309e2e0ce0b6	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus ioensis		SPECIES	Malus ioensis (Alph.Wood) Britton	Malus ioensis	(Alph. Wood) Britton	US	On the south side of Lake Cicott.	Indiana	PRESENT		26a503f6-b337-424b-8d7a-b3ab11d2597f	40.764693	-86.533621	525.0						1916-05-07	7	5	1916	3001596	3001596	PRESERVED_SPECIMEN	IND		IND-0058022	19382			CC_BY_NC_4_0	The Trustees of Indiana University	Charles C. Deam			2025-02-26T14:41:46.555Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
5070632340	39c43f87-ad33-48f6-867c-29768e1f06d1	20b21e1d-f4df-42ad-a0b7-147e445f263d	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus ioensis		SPECIES	Malus ioensis (Alph.Wood) Britton	Malus ioensis	(Alph. Wood) Britton	US	Bluffton Indiana park just south of the City Waterworks	Indiana	PRESENT		26a503f6-b337-424b-8d7a-b3ab11d2597f	40.738658	-85.171637	1850.0						1945-04-30	30	4	1945	3001596	3001596	PRESERVED_SPECIMEN	IND		IND-0056921	63194			CC_BY_NC_4_0	The Trustees of Indiana University	Charles C. Deam			2025-02-26T14:41:46.425Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
5070631506	39c43f87-ad33-48f6-867c-29768e1f06d1	592636ca-7bb7-4d84-bfc1-5c61e1cbb4e2	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus ioensis		SPECIES	Malus ioensis (Alph.Wood) Britton	Malus ioensis	(Alph. Wood) Britton	US	bordering Lake Michigan at a point 5 miles north of Chesterton	Indiana	PRESENT		26a503f6-b337-424b-8d7a-b3ab11d2597f	41.662944	-87.062826	1250.0						1915-08-22	22	8	1915	3001596	3001596	PRESERVED_SPECIMEN	IND		IND-0057044	18166			CC_BY_NC_4_0	The Trustees of Indiana University	Charles C. Deam			2025-02-26T14:41:46.158Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
5070631505	39c43f87-ad33-48f6-867c-29768e1f06d1	4ebcdd06-89f4-4442-8067-f3a4315afc65	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus ioensis		SPECIES	Malus ioensis (Alph.Wood) Britton	Malus ioensis	(Alph. Wood) Britton	US	south side of Half Moon Pond about 10 miles southwest of Mt. Vernon	Indiana	PRESENT		26a503f6-b337-424b-8d7a-b3ab11d2597f	37.875486	-88.046898	450.0						1919-04-19	19	4	1919	3001596	3001596	PRESERVED_SPECIMEN	IND		IND-0057048	26994			CC_BY_NC_4_0	The Trustees of Indiana University	Charles C. Deam			2025-02-26T14:41:46.158Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
5070631504	39c43f87-ad33-48f6-867c-29768e1f06d1	73bb66c7-c27a-4561-81c4-d44203c91120	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus ioensis		SPECIES	Malus ioensis (Alph.Wood) Britton	Malus ioensis	(Alph. Wood) Britton	US	3/4 mi. south of Graysville [Graysville]	Indiana	PRESENT		26a503f6-b337-424b-8d7a-b3ab11d2597f	39.10547	-87.557936	400.0						1919-08-21	21	8	1919	3001596	3001596	PRESERVED_SPECIMEN	IND		IND-0057050	27300			CC_BY_NC_4_0	The Trustees of Indiana University	Charles C. Deam			2025-02-26T14:41:46.158Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
5070631503	39c43f87-ad33-48f6-867c-29768e1f06d1	3ccaf625-b832-4f40-a3dd-18a5a40acbef	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus ioensis		SPECIES	Malus ioensis (Alph.Wood) Britton	Malus ioensis	(Alph. Wood) Britton	US	3/4 mile south of Graysville [Graysville]	Indiana	PRESENT		26a503f6-b337-424b-8d7a-b3ab11d2597f	39.10547	-87.557936	400.0						1919-05-07	7	5	1919	3001596	3001596	PRESERVED_SPECIMEN	IND		IND-0057051	27300			CC_BY_NC_4_0	The Trustees of Indiana University	Charles C. Deam			2025-02-26T14:41:46.153Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
5070631502	39c43f87-ad33-48f6-867c-29768e1f06d1	3ba9069b-7291-4694-abc4-1194e6374b63	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus ioensis		SPECIES	Malus ioensis (Alph.Wood) Britton	Malus ioensis	(Alph. Wood) Britton	US	east bank of Tippecanoe River 3/4 mi. northeast of Buffalo	Indiana	PRESENT		26a503f6-b337-424b-8d7a-b3ab11d2597f	40.890452	-86.734825	300.0						1924-06-08	8	6	1924	3001596	3001596	PRESERVED_SPECIMEN	IND		IND-0057057	40638			CC_BY_NC_4_0	The Trustees of Indiana University	Charles C. Deam			2025-02-26T14:41:46.153Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
5070631501	39c43f87-ad33-48f6-867c-29768e1f06d1	2be94aa7-7643-4021-9d2f-cf1b926ab2c8	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus ioensis		SPECIES	Malus ioensis (Alph.Wood) Britton	Malus ioensis	(Alph. Wood) Britton	US	1 mile southwest of Reno	Kansas	PRESENT		26a503f6-b337-424b-8d7a-b3ab11d2597f	39.043695	-95.139864	400.0		253.0				1950-05-12	12	5	1950	3001596	3001596	PRESERVED_SPECIMEN	IND		IND-0057060	3606	P. E. Rothrock		CC_BY_NC_4_0	The Trustees of Indiana University	W. H. Horr			2025-02-26T14:41:46.148Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;IDENTIFIED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
