"Sample.name"	"Accession"	"Pop"	"Pop name"	"tree location"
"C-001-032-000-14A"	"C-001-032-000-14A"	"C-001"	"rare"	"43°22'44.32""N 80°20'34.33""W"
"C-001-041-000--14A"	"C-001-041-000-14A"	"C-001"	"rare"	"43°22'43.66""N 80°20'33.96""W"
"C-001-046-000--14A"	"C-001-046-000-14A"	"C-001"	"rare"	"43°22'45.92""N 80°20'40.86""W"
"Rare-2023_01"	"C-001-090-000-23A"	"C-001"	"rare"	"43°22'38.36""N 80°20'46.52""W"
"Cor_0337_MP3"	"C-001-N0337-21A"	"C-001"	"rare"	"43°22'36.19""N 80°20'25.83""W"
"Cor_143_MP3"	"C-001-N143-21A"	"C-001"	"rare"	"43°22'39.00""N 80°20'26.74""W"
"Cor_144_MP3"	"C-001-N144-21A"	"C-001"	"rare"	"43°22'39.00""N 80°20'26.74""W"
"Cor_1733_MP3"	"C-001-N1733-21A"	"C-001"	"rare"	"43°22'35.40""N 80°20'22.09""W"
"Cor_190_MP3"	"C-001-N190-21A"	"C-001"	"rare"	"43°22'43.93""N 80°20'34.34""W"
"Cor_191_MP3"	"C-001-N191-21A"	"C-001"	"rare"	"43°22'42.68""N 80°20'36.70""W"
"Cor_198_MP3"	"C-001-N198-21A"	"C-001"	"rare"	"43°22'40.17""N 80°20'31.98""W"
"Cor_266_MP3"	"C-001-N266-21A"	"C-001"	"rare"	"43°22'36.22""N 80°20'22.85""W"
"Cor_278_MP3"	"C-001-N278-21A"	"C-001"	"rare"	"43°22'36.22""N 80°20'22.85""W"
"Cor_373_MP3"	"C-001-N373-21A"	"C-001"	"rare"	"43°22'36.05""N 80°20'22.44""W"
"Cor_4_MP3"	"C-001-N4-21A"	"C-001"	"rare"	"43°22'37.61""N 80°20'24.45""W"
"Cor_42_MP3"	"C-001-N42-21A"	"C-001"	"rare"	"43°22'46.05""N 80°20'34.96""W"
"Cor_5_MP3"	"C-001-N5-21A"	"C-001"	"rare"	"43°22'39.00""N 80°20'26.53""W"
