gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
891734527,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/383258,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,Michigan,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.088333,-84.726167,,,,,,,2013-08-30T14:54:11,30,8,2013,3001166,3001166,HUMAN_OBSERVATION,iNaturalist,Observations,383258,,Jesse Lincoln,2013-08-31 1:15,CC_BY_NC_4_0,Jesse Lincoln,Jesse Lincoln,,,2024-02-16 10:31,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
768788521,5288946d-5fcf-4b53-8fd3-74f4cc6b53fc,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria (L.) Mill.,,US,Platt Park,Connecticut,PRESENT,,1ef55060-54da-11dd-9d47-b8a03c50a862,41.47611,-73.23694,3,,,,,,1995-06-15,15,6,1995,3001166,3001166,PRESERVED_SPECIMEN,UConn,CONN,CONN00158231,298,,,CC_BY_4_0,,"McCauley, Kathleen M.",,,2024-01-24 23:32,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
4522596615,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/198701798,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,Ohio,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.386731,-81.448532,27816,,,,,,1987-05-15T09:00,15,5,1987,3001166,3001166,HUMAN_OBSERVATION,iNaturalist,Observations,198701798,,Chuck Thomas,2024-02-08 4:12,CC_BY_NC_4_0,Chuck Thomas,Chuck Thomas,,,2024-02-16 10:59,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4522443861,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/164508135,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,CA,,Ontario,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.661497,-81.063167,4,,,,,,2023-05-29T16:59:21,29,5,2023,3001166,3001166,HUMAN_OBSERVATION,iNaturalist,Observations,164508135,,Cyril Crocker,2023-05-29 21:07,CC_BY_NC_4_0,Cyril Crocker,Cyril Crocker,,,2024-02-16 11:19,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4519175158,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/198146726,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,Ohio,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,39.621069,-84.004973,4,,,,,,2023-12-20T15:23,20,12,2023,3001166,3001166,HUMAN_OBSERVATION,iNaturalist,Observations,198146726,,Daniel Boone,2024-02-01 17:55,CC_BY_NC_4_0,Daniel Boone,Daniel Boone,,,2024-02-16 11:45,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4513879374,f3f03cbf-1a01-4739-ae15-c1355b8c2dbf,CF6D6E8D-EDA4-4B13-996A-9EA56507A1EF,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,dasycalyx,VARIETY,Malus coronaria var. dasycalyx Rehder,Malus coronaria var. dasycalyx,Rehder,US,"Townsend Twp., 275 ft W of Northwest Rd (CR314), 0.60 mi N of Vickery Rd/Whitmore Rd, Dog Training Area, Resthaven Wildlife Area",Ohio,PRESENT,,c1da06f0-580e-11dc-8a9e-b8a03c50a862,41.39423,-82.84703,,,,,,,2022-08-02,2,8,2022,3001181,3001166,PRESERVED_SPECIMEN,CM,Botany,CM551970,5090,,,CC0_1_0,Carnegie Museum of Natural History,"Riley, B.P.",,,2024-01-30 11:59,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4513876377,f3f03cbf-1a01-4739-ae15-c1355b8c2dbf,7C797C41-7D4C-4792-A732-3612410C0E52,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,dasycalyx,VARIETY,Malus coronaria var. dasycalyx Rehder,Malus coronaria var. dasycalyx,Rehder,US,"Townsend Twp., 275 ft W of Northwest Rd (CR314), 0.60 mi N of Vickery Rd/Whitmore Rd, Dog Training Area, Resthaven Wildlife Area",Ohio,PRESENT,,c1da06f0-580e-11dc-8a9e-b8a03c50a862,41.39423,-82.84703,,,,,,,2022-08-02,2,8,2022,3001181,3001166,PRESERVED_SPECIMEN,CM,Botany,CM551971,5090,,,CC0_1_0,Carnegie Museum of Natural History,"Riley, B.P.",,,2024-01-30 11:59,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4512062624,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/154847032,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,Ohio,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,39.304697,-84.691888,,,,,,,2023-04-13T14:14:26,13,4,2023,3001166,3001166,HUMAN_OBSERVATION,iNaturalist,Observations,154847032,,Brian Wulker,2023-04-14 17:41,CC_BY_NC_4_0,Brian Wulker,Brian Wulker,,,2024-02-16 10:53,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4512036638,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/154880892,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,Ohio,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,39.307987,-84.695498,,,,,,,2023-04-13T14:42,13,4,2023,3001166,3001166,HUMAN_OBSERVATION,iNaturalist,Observations,154880892,,Brian Wulker,2023-04-14 22:02,CC_BY_NC_4_0,Brian Wulker,Brian Wulker,,,2024-02-16 11:19,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4512027633,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/155506812,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,Ohio,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,39.307055,-84.692851,,,,,,,2023-04-17T10:11:29,17,4,2023,3001166,3001166,HUMAN_OBSERVATION,iNaturalist,Observations,155506812,,Brian Wulker,2023-04-18 18:48,CC_BY_NC_4_0,Brian Wulker,Brian Wulker,,,2024-02-16 11:43,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
